[2026-04-24T07:02:03.074Z] GET http://localhost:5174/ → 200 (15ms, 356B)
[2026-04-24T07:02:03.095Z] GET http://localhost:5174/@vite/client → 200 (9ms, 182535B)
[2026-04-24T07:02:03.095Z] GET http://localhost:5174/src/renderer/index.tsx → 200 (17ms, 2298B)
[2026-04-24T07:02:03.105Z] GET http://localhost:5174/node_modules/vite/dist/client/env.mjs → 200 (1ms, 3861B)
[2026-04-24T07:02:03.112Z] GET http://localhost:5174/node_modules/.vite/deps/react_jsx-dev-runtime.js?v=565f0860 → 200 (164ms, 12434B)
[2026-04-24T07:02:03.112Z] GET http://localhost:5174/node_modules/.vite/deps/react.js?v=63443014 → 200 (55ms, 724B)
[2026-04-24T07:02:03.112Z] GET http://localhost:5174/node_modules/.vite/deps/react-dom_client.js?v=63443014 → 200 (93ms, 1021706B)
[2026-04-24T07:02:03.112Z] GET http://localhost:5174/src/renderer/App.tsx → 200 (89ms, 20130B)
[2026-04-24T07:02:03.112Z] GET http://localhost:5174/src/renderer/index.css → 200 (90ms, 19412B)
[2026-04-24T07:02:03.112Z] GET http://localhost:5174/src/renderer/dev-mock.ts → 200 (91ms, 9977B)
[2026-04-24T07:02:03.167Z] GET http://localhost:5174/node_modules/.vite/deps/chunk-ODY6T4AV.js?v=63443014 → 200 (10ms, 46922B)
[2026-04-24T07:02:03.202Z] GET http://localhost:5174/src/renderer/store.ts → 200 (2ms, 11530B)
[2026-04-24T07:02:03.202Z] GET http://localhost:5174/src/renderer/components/ProjectList.tsx → 200 (18ms, 11302B)
[2026-04-24T07:02:03.202Z] GET http://localhost:5174/src/renderer/components/TaskList.tsx → 200 (18ms, 23253B)
[2026-04-24T07:02:03.202Z] GET http://localhost:5174/src/renderer/components/TimeCanvas.tsx → 200 (18ms, 35473B)
[2026-04-24T07:02:03.204Z] GET http://localhost:5174/node_modules/.vite/deps/zustand.js?v=63443014 → 200 (16ms, 1972B)
[2026-04-24T07:02:03.276Z] GET http://localhost:5174/node_modules/.vite/deps/chunk-ODY6T4AV.js?v=9880098f → 200 (1ms, 46922B)
[2026-04-24T07:02:03.350Z] GET http://localhost:5174/ → 200 (3ms, 356B)
[2026-04-24T07:02:03.355Z] GET http://localhost:5174/@vite/client → 304 (10ms, ?B)
[2026-04-24T07:02:03.355Z] GET http://localhost:5174/src/renderer/index.tsx → 200 (1ms, 2298B)
[2026-04-24T07:02:03.357Z] GET http://localhost:5174/node_modules/.vite/deps/react_jsx-dev-runtime.js?v=9880098f → 200 (1ms, 12434B)
[2026-04-24T07:02:03.357Z] GET http://localhost:5174/node_modules/.vite/deps/react.js?v=9880098f → 200 (1ms, 724B)
[2026-04-24T07:02:03.357Z] GET http://localhost:5174/node_modules/.vite/deps/react-dom_client.js?v=9880098f → 200 (23ms, ?B)
[2026-04-24T07:02:03.357Z] GET http://localhost:5174/src/renderer/App.tsx → 200 (9ms, 20130B)
[2026-04-24T07:02:03.357Z] GET http://localhost:5174/src/renderer/index.css → 304 (7ms, ?B)
[2026-04-24T07:02:03.357Z] GET http://localhost:5174/src/renderer/dev-mock.ts → 304 (8ms, ?B)
[2026-04-24T07:02:03.358Z] GET http://localhost:5174/node_modules/.vite/deps/chunk-ODY6T4AV.js?v=9880098f → 200 (?ms, 46922B)
[2026-04-24T07:02:03.365Z] GET http://localhost:5174/node_modules/vite/dist/client/env.mjs → 304 (11ms, ?B)
[2026-04-24T07:02:03.366Z] GET http://localhost:5174/src/renderer/store.ts → 200 (12ms, 11530B)
[2026-04-24T07:02:03.366Z] GET http://localhost:5174/src/renderer/components/ProjectList.tsx → 200 (12ms, 11302B)
[2026-04-24T07:02:03.366Z] GET http://localhost:5174/src/renderer/components/TaskList.tsx → 200 (13ms, 23253B)
[2026-04-24T07:02:03.366Z] GET http://localhost:5174/src/renderer/components/TimeCanvas.tsx → 200 (12ms, 35473B)
[2026-04-24T07:02:03.378Z] GET http://localhost:5174/node_modules/.vite/deps/zustand.js?v=9880098f → 200 (2ms, ?B)
[2026-04-24T07:13:27.473Z] GET http://localhost:5174/ → 200 (2ms, 356B)
[2026-04-24T07:13:27.478Z] GET http://localhost:5174/@vite/client → 200 (2ms, 182535B)
[2026-04-24T07:13:27.478Z] GET http://localhost:5174/src/renderer/index.tsx → 200 (?ms, 2298B)
[2026-04-24T07:13:27.479Z] GET http://localhost:5174/node_modules/.vite/deps/react_jsx-dev-runtime.js?v=9880098f → 200 (2ms, 12434B)
[2026-04-24T07:13:27.480Z] GET http://localhost:5174/node_modules/.vite/deps/react.js?v=9880098f → 200 (1ms, 724B)
[2026-04-24T07:13:27.480Z] GET http://localhost:5174/node_modules/.vite/deps/react-dom_client.js?v=9880098f → 200 (5ms, 1021706B)
[2026-04-24T07:13:27.480Z] GET http://localhost:5174/src/renderer/App.tsx → 200 (2ms, 20130B)
[2026-04-24T07:13:27.480Z] GET http://localhost:5174/src/renderer/index.css → 200 (2ms, 19412B)
[2026-04-24T07:13:27.480Z] GET http://localhost:5174/src/renderer/dev-mock.ts → 200 (2ms, 9977B)
[2026-04-24T07:13:27.481Z] GET http://localhost:5174/node_modules/vite/dist/client/env.mjs → 200 (2ms, 3861B)
[2026-04-24T07:13:27.481Z] GET http://localhost:5174/node_modules/.vite/deps/chunk-ODY6T4AV.js?v=9880098f → 200 (1ms, 46922B)
[2026-04-24T07:13:27.482Z] GET http://localhost:5174/src/renderer/store.ts → 200 (1ms, 11530B)
[2026-04-24T07:13:27.482Z] GET http://localhost:5174/src/renderer/components/ProjectList.tsx → 200 (1ms, 11302B)
[2026-04-24T07:13:27.482Z] GET http://localhost:5174/src/renderer/components/TaskList.tsx → 200 (2ms, 23253B)
[2026-04-24T07:13:27.482Z] GET http://localhost:5174/src/renderer/components/TimeCanvas.tsx → 200 (2ms, 35473B)
[2026-04-24T07:13:27.483Z] GET http://localhost:5174/node_modules/.vite/deps/zustand.js?v=9880098f → 200 (1ms, 1972B)
[2026-04-24T07:17:49.978Z] GET http://localhost:5174/ → 200 (2ms, 356B)
[2026-04-24T07:17:49.982Z] GET http://localhost:5174/@vite/client → 200 (2ms, 182535B)
[2026-04-24T07:17:49.982Z] GET http://localhost:5174/src/renderer/index.tsx → 200 (1ms, 2298B)
[2026-04-24T07:17:49.983Z] GET http://localhost:5174/node_modules/.vite/deps/react_jsx-dev-runtime.js?v=9880098f → 200 (?ms, 12434B)
[2026-04-24T07:17:49.983Z] GET http://localhost:5174/node_modules/.vite/deps/react.js?v=9880098f → 200 (?ms, 724B)
[2026-04-24T07:17:49.984Z] GET http://localhost:5174/node_modules/.vite/deps/react-dom_client.js?v=9880098f → 200 (?ms, 1021706B)
[2026-04-24T07:17:49.984Z] GET http://localhost:5174/src/renderer/App.tsx → 200 (1ms, 20130B)
[2026-04-24T07:17:49.984Z] GET http://localhost:5174/src/renderer/index.css → 200 (1ms, 19412B)
[2026-04-24T07:17:49.984Z] GET http://localhost:5174/src/renderer/dev-mock.ts → 200 (2ms, 9977B)
[2026-04-24T07:17:49.984Z] GET http://localhost:5174/node_modules/.vite/deps/chunk-ODY6T4AV.js?v=9880098f → 200 (?ms, 46922B)
[2026-04-24T07:17:49.984Z] GET http://localhost:5174/node_modules/vite/dist/client/env.mjs → 200 (2ms, 3861B)
[2026-04-24T07:17:49.985Z] GET http://localhost:5174/src/renderer/store.ts → 200 (1ms, 11530B)
[2026-04-24T07:17:49.985Z] GET http://localhost:5174/src/renderer/components/ProjectList.tsx → 200 (1ms, 11302B)
